Hero Name,Primary Stat,Agility,Agility Gain,Intelligence,Intelligence Gain,Strength,Strength Gain,Health,Health Regen,Mana,Mana Regen,Armor,%Physical Damage Reduction,Movement Speed,Turn Rate,Base Damage Average,Base Damage Min,Base Damage Max,Bonus Damage,Bonus Damage Reduction,Damage Average,Damage Min,Damage Max,Status Resistance,Magic Resistance,Base Attack Time,Increased Attack Speed,Attack Type,Attack Time,Attacks Per Second,Attack Point,Projectile Speed,Evasion,Physical Effective Health,Magical Effective Health,Bash Chance,Crit Chance,Miss Chance,Attack Range,Vision Range Day,Vision Range Night,Lifesteal,Attack Damage,Damage Per Second
Death Prophet,INT,14,1.4,21,3,19,2.9,580,1.7,327,1.28,2.33,10.45,305,0.5,53,47,59,0,0,53,47,59,0,22.64,1.7,14,RANGED,1.49,0.67,0.56,1000,0,647.67,749.72,0,0,0,600,1800,800,0,53,35.51
Disruptor,INT,15,1.4,20,2.5,21,2.2,620,1.72,315,1.26,1.5,6.98,300,0.5,51,49,53,0,0,51,49,53,0,22.75,1.7,15,RANGED,1.48,0.68,0.4,1200,0,666.5,802.59,0,0,0,600,1800,800,0,51,34.68
Doom,STR,11,0.9,15,2.1,26,3.5,720,1.78,255,1.17,0.83,4,280,0.5,61,53,69,0,0,61,53,69,3.9,25,2,11,MELEE,1.8,0.56,0.5,900,0,750,960,0,0,0,150,1800,800,0,61,34.16
Dragon Knight,STR,19,2,15,1.7,19,3.1,580,1.7,255,1.17,3.17,13.67,280,0.6,53,50,56,0,0,53,50,56,2.85,25,1.7,19,MELEE,1.43,0.7,0.5,900,0,671.83,773.33,0,0,0,150,1800,800,0,53,37.1
Drow Ranger,AGI,19,2.2,15,1.4,17,1.9,540,1.96,255,1.17,0.17,0.83,288.25,0.7,49.5,44,55,0,0,49.5,44,55,0,25,1.7,19,RANGED,1.43,0.7,0.65,1250,0,544.5,720,0,0,0,625,1800,800,0,49.5,34.65
Earth Spirit,STR,17,1.5,18,2.1,21,3.5,620,1.72,291,1.22,2.83,12.41,285,0.6,51,46,56,0,0,51,46,56,3.15,25,1.7,17,MELEE,1.45,0.69,0.35,900,0,707.83,826.67,0,0,0,150,1800,800,0,51,35.19
Earthshaker,STR,12,1.4,16,1.8,22,3.2,640,2.89,267,1.19,3,13.04,310,0.9,54,49,59,0,0,54,49,59,3.3,25,1.7,12,MELEE,1.52,0.66,0.467,0,0,736,853.33,0,0,0,150,1800,800,0,54,35.64
Elder Titan,STR,14,1.8,23,1.6,24,2.6,680,1.76,351,1.31,2.33,10.45,310,0.5,52,47,57,0,0,52,47,57,3.6,25,1.7,14,MELEE,1.49,0.67,0.35,900,0,759.33,906.67,0,0,0,150,1800,800,0,52,34.84
Ember Spirit,AGI,22,1.8,20,1.8,20,2.4,600,2.29,315,1.26,2.67,11.76,309.03,0.5,54,52,56,0,0,54,52,56,0,25,1.7,22,MELEE,1.39,0.72,0.4,900,0,680,800,0,0,0,150,1800,800,0,54,38.88
Enchantress,INT,19,1.8,19,3.1,19,1.3,580,1.7,303,1.24,1.17,5.51,325,0.5,54,49,59,0,0,54,49,59,0,22.86,1.7,19,RANGED,1.43,0.7,0.3,900,0,613.83,751.9,0,0,0,575,1800,800,0,54,37.8
Enigma,INT,14,1,18,3.4,21,2.3,620,1.72,291,1.22,4.33,17.81,300,0.5,45,42,48,0,0,45,42,48,0,22.98,1.7,14,RANGED,1.49,0.67,0.4,900,0,754.33,804.93,0,0,0,500,1800,800,0,45,30.15
Faceless Void,AGI,23,2.8,15,1.5,24,2.1,680,2.34,255,1.17,3.83,16.08,299.07,1,59,56,62,0,0,59,56,62,0,25,1.7,23,MELEE,1.38,0.72,0.5,900,0,810.33,906.67,0,0,0,150,1800,800,0,59,42.48
Grimstroke,INT,18,1.9,23,3.3,21,2.2,620,1.72,351,1.31,3,13.04,295,0.6,52,50,54,0,0,52,50,54,0,22.41,1.7,18,RANGED,1.44,0.69,0.35,900,0,713,799.1,0,0,0,550,1800,800,0,52,35.88
Gyrocopter,AGI,19,2.8,19,2.1,19,2.1,580,1.7,303,1.24,5.17,20.53,323.65,0.6,42,37,47,0,0,42,37,47,0,25,1.7,19,RANGED,1.43,0.7,0.2,3000,0,729.83,773.33,0,0,0,365,1800,800,0,42,29.4
Huskar,STR,15,1.4,18,1.5,21,2.7,620,1.72,291,1.22,0.5,2.44,290,0.5,42.5,40,45,0,0,42.5,40,45,3.15,25,1.6,15,RANGED,1.39,0.72,0.4,1400,0,635.5,826.67,0,0,0,400,1800,800,0,42.5,30.6
Invoker,INT,14,1.9,14,4,18,2.2,560,1.69,243,1.15,1.33,6.25,280,0.5,38,35,41,0,0,38,35,41,0,23.43,1.7,14,RANGED,1.49,0.67,0.4,900,0,597.33,731.31,0,0,0,600,1800,800,0,38,25.46
Io,STR,14,1.6,23,1.7,17,2.2,540,1.68,351,1.31,0.33,1.64,280,0.7,43.5,39,48,0,0,43.5,39,48,2.55,25,1.7,14,RANGED,1.49,0.67,0.15,1200,0,549,720,0,0,0,575,1800,800,0,43.5,29.15
Jakiro,INT,10,1.2,26,2.8,27,2.6,740,1.79,387,1.37,2.67,11.76,290,0.5,57,53,61,0,0,57,53,61,0,22.07,1.7,10,RANGED,1.55,0.65,0.4,1100,0,838.67,949.63,0,0,0,400,1800,800,0,57,37.05
Juggernaut,AGI,26,2.4,14,1.4,21,2.2,620,2.3,243,1.15,5.33,21.05,299.6,0.6,50,48,52,0,0,50,48,52,0,25,1.4,26,MELEE,1.11,0.9,0.33,0,0,785.33,826.67,0,0,0,150,1800,800,0,50,45
Keeper of the Light,INT,15,1.6,23,2.8,16,2.1,520,1.67,351,1.31,1.5,6.98,335,0.5,46.5,43,50,0,0,46.5,43,50,0,22.41,1.7,15,RANGED,1.48,0.68,0.3,900,0,559,670.21,0,0,0,600,1800,800,0,46.5,31.62
Kunkka,STR,14,1.3,18,1.5,24,3.3,680,1.76,291,1.22,3.33,14.29,295,0.6,55,50,60,0,0,55,50,60,3.6,25,1.7,14,MELEE,1.49,0.67,0.4,900,0,793.33,906.67,0,0,0,150,1800,800,0,55,36.85
Legion Commander,STR,18,1.7,20,2.2,26,2.9,720,1.78,315,1.26,2,9.09,315,0.5,63,61,65,0,0,63,61,65,3.9,25,1.7,18,MELEE,1.44,0.69,0.46,900,0,792,960,0,0,0,150,1800,800,0,63,43.47
Leshrac,INT,23,1.7,22,3,18,2.1,560,1.69,339,1.3,3.83,16.08,330,0.5,43,41,45,0,0,43,41,45,0,22.53,1.7,23,RANGED,1.38,0.72,0.4,900,0,667.33,722.81,0,0,0,600,1800,800,0,43,30.96
Lich,INT,15,2,16,3.25,20,1.85,600,1.71,267,1.19,1.5,6.98,315,0.5,46.5,42,51,0,0,46.5,42,51,0,23.2,1.7,15,RANGED,1.48,0.68,0.46,900,0,645,781.25,0,0,0,550,1800,800,0,46.5,31.62
Lifestealer,STR,18,1.9,15,1.75,25,3.1,700,1.77,255,1.17,1,4.76,310,1,57,52,62,0,0,57,52,62,3.75,25,1.85,18,MELEE,1.57,0.64,0.39,900,0,735,933.33,0,0,0,150,1800,800,0,57,36.48
Lina,INT,16,1.5,28,3.2,20,1.8,600,1.71,411,1.4,1.67,7.69,295,0.5,52,46,58,0,0,52,46,58,0,21.85,1.6,16,RANGED,1.38,0.72,0.75,1000,0,650,767.75,0,0,0,670,1800,800,0,52,37.44
Lion,INT,15,1.5,18,3,18,2,560,1.69,291,1.22,1.5,6.98,290,0.5,50,47,53,0,0,50,47,53,0,22.98,1.7,15,RANGED,1.48,0.68,0.43,900,0,602,727.04,0,0,0,600,1800,800,0,50,34
Lone Druid,AGI,24,2.7,13,1.4,18,2.4,560,1.98,231,1.13,4,16.67,324.61,0.5,44,42,46,0,0,44,42,46,0,25,1.7,24,RANGED,1.37,0.73,0.33,900,0,672,746.67,0,0,0,550,1800,800,0,44,32.12
Luna,AGI,18,3.3,16,1.85,16,2.2,520,1.67,267,1.19,3,13.04,333.56,0.6,41,38,44,0,0,41,38,44,0,25,1.7,18,RANGED,1.44,0.69,0.46,900,0,598,693.33,0,0,0,330,1800,800,0,41,28.29
Lycan,STR,16,1,17,1.4,25,3.3,700,1.77,279,1.21,0.67,3.23,300,0.5,57.5,55,60,0,0,57.5,55,60,3.75,25,1.7,16,MELEE,1.47,0.68,0.55,900,0,723.33,933.33,0,0,0,150,1800,800,0,57.5,39.1
Magnus,STR,15,2.5,19,1.65,23,3.2,660,2.33,303,1.24,3.5,14.89,305,0.8,61,55,67,0,0,61,55,67,3.45,25,1.8,15,MELEE,1.57,0.64,0.5,900,0,775.5,880,0,0,0,150,1800,800,0,61,39.04
Medusa,AGI,20,2.5,19,2.1,15,1.3,500,1.66,303,1.24,2.33,10.45,278.3,0.5,47,44,50,0,0,47,44,50,0,25,1.7,20,RANGED,1.42,0.71,0.5,1200,0,558.33,666.67,0,0,0,600,1800,800,0,47,33.37
Meepo,AGI,23,2.2,20,1.6,24,1.6,680,2.05,315,1.26,6.83,25.47,314.28,0.65,46,43,49,0,0,46,43,49,0,25,1.7,23,MELEE,1.38,0.72,0.38,900,0,912.33,906.67,0,0,0,150,1800,800,0,46,33.12
Mirana,AGI,18,3.2,17,1.65,18,2.15,560,1.69,279,1.21,2,9.09,298.19,0.5,45.5,43,48,0,0,45.5,43,48,0,25,1.7,18,RANGED,1.44,0.69,0.3,900,0,616,746.67,0,0,0,630,1800,800,0,45.5,31.39
Monkey King,AGI,22,3.2,20,1.8,19,2.8,580,3.41,315,1.26,0.67,3.23,303.96,0.6,54,51,57,0,0,54,51,57,0,25,1.7,22,MELEE,1.39,0.72,0.45,900,0,599.33,773.33,0,0,0,300,1800,800,0,54,38.88
Morphling,AGI,24,3.7,13,1.1,20,2.3,600,1.71,231,1.13,2,9.09,284.03,0.6,37.5,33,42,0,0,37.5,33,42,0,25,1.5,24,RANGED,1.21,0.83,0.5,1300,0,660,800,0,0,0,350,1800,800,0,37.5,31.13
Naga Siren,AGI,21,3.2,21,2,22,2.8,640,3.47,327,1.28,6.5,24.53,318.97,0.5,45,44,46,0,0,45,44,46,0,25,1.7,21,MELEE,1.4,0.71,0.5,900,0,848,853.33,0,0,0,150,1800,800,0,45,31.95
Nature's Prophet,INT,18,2.4,23,2.9,21,2.4,620,1.72,351,1.31,4,16.67,290,0.6,59,52,66,0,0,59,52,66,0,22.41,1.7,18,RANGED,1.44,0.69,0.4,1125,0,744,799.1,0,0,0,600,1800,800,0,59,40.71
Necrophos,INT,12,1.3,20,2.5,18,2.6,560,1.69,315,1.26,3,13.04,280,0.5,48,46,50,0,0,48,46,50,0,22.75,1.7,12,RANGED,1.52,0.66,0.4,900,0,644,724.92,0,0,0,550,1800,800,0,48,31.68
Night Stalker,STR,18,2.25,13,1.6,23,3.1,660,3.78,231,1.13,5,20,285,0.5,63,61,65,0,0,63,61,65,3.45,25,1.7,18,MELEE,1.44,0.69,0.55,900,0,825,880,0,0,0,150,800,1800,0,63,43.47
Nyx Assassin,AGI,19,2.2,18,2.1,19,2.3,580,5.39,291,1.22,4.17,17.24,298.36,0.5,48,46,50,0,0,48,46,50,0,25,1.7,19,MELEE,1.43,0.7,0.46,900,0,700.83,773.33,0,0,0,150,1800,800,0,48,33.6
Ogre Magi,INT,14,1.55,15,2,25,3.5,700,5.6,255,1.17,8.33,29.41,285,0.6,61,58,64,0,0,61,58,64,0,23.31,1.7,14,MELEE,1.49,0.67,0.3,900,0,991.67,912.8,0,0,0,150,1800,800,0,61,40.87
Omniknight,STR,15,1.75,15,1.8,22,3.1,640,1.74,255,1.17,3.5,14.89,300,0.6,58,53,63,0,0,58,53,63,3.3,25,1.7,15,MELEE,1.48,0.68,0.433,900,0,752,853.33,0,0,0,150,1800,800,0,58,39.44
Oracle,INT,15,1.7,21,3.5,20,2.2,600,1.71,327,1.28,2.5,11.11,305,0.7,42,39,45,0,0,42,39,45,0,22.64,1.4,15,RANGED,1.22,0.82,0.3,900,0,675,775.57,0,0,0,620,1800,800,0,42,34.44
Outworld Devourer,INT,24,2,24,2.7,19,2.6,580,1.7,363,1.33,4.5,18.37,315,0.5,47.5,40,55,0,0,47.5,40,55,0,22.3,1.7,24,RANGED,1.37,0.73,0.46,900,0,710.5,746.46,0,0,0,450,1800,800,0,47.5,34.67
Pangolier,AGI,18,2.8,16,1.9,17,2.5,540,1.96,267,1.19,4,16.67,308.29,1,50,47,53,0,0,50,47,53,0,25,1.7,18,MELEE,1.44,0.69,0.33,900,0,648,720,0,0,0,150,1800,800,0,50,34.5
Phantom Assassin,AGI,23,3.15,15,1.4,21,2.15,620,2.01,255,1.17,4.83,19.46,309.21,0.6,47,46,48,0,0,47,46,48,0,25,1.7,23,MELEE,1.38,0.72,0.3,900,0,769.83,826.67,0,0,0,150,1800,800,0,47,33.84
Phantom Lancer,AGI,29,2.8,19,2,19,2,580,3.41,303,1.24,4.83,19.46,289.96,0.6,62,51,73,0,0,62,51,73,0,25,1.7,29,MELEE,1.32,0.76,0.5,900,0,720.17,773.33,0,0,0,150,1800,800,0,62,47.12
Phoenix,STR,12,1.3,18,1.8,19,3.2,580,1.7,291,1.22,0,0,280,1,50,45,55,0,0,50,45,55,2.85,25,1.7,12,RANGED,1.52,0.66,0.35,1100,0,580,773.33,0,0,0,500,1800,800,0,50,33
Puck,INT,22,1.7,23,2.4,17,2,540,1.68,351,1.31,1.67,7.69,295,0.5,58.5,53,64,0,0,58.5,53,64,0,22.41,1.7,22,RANGED,1.39,0.72,0.5,900,0,585,695.99,0,0,0,550,1800,800,0,58.5,42.12
Pudge,STR,14,1.5,14,1.5,25,3.5,700,1.77,243,1.15,0.33,1.64,275,0.7,62,59,65,0,0,62,59,65,3.75,25,1.7,14,MELEE,1.49,0.67,0.5,0,0,711.67,933.33,0,0,0,150,1800,800,0,62,41.54
Pugna,INT,16,1,24,4.5,19,1.8,580,1.7,363,1.33,2.67,11.76,335,0.5,47,43,51,0,0,47,43,51,0,22.3,1.7,16,RANGED,1.47,0.68,0.5,900,0,657.33,746.46,0,0,0,630,1800,800,0,47,31.96
Queen of Pain,INT,18,2,22,2.5,18,2.3,560,1.69,339,1.3,2,9.09,295,0.5,49,45,53,0,0,49,45,53,0,22.53,1.5,18,RANGED,1.27,0.79,0.56,1500,0,616,722.81,0,0,0,550,1800,800,0,49,38.71
Razor,AGI,22,1.8,21,1.8,22,2.6,640,1.74,327,1.28,2.67,11.76,288.76,0.5,46,45,47,0,0,46,45,47,0,25,1.7,22,RANGED,1.39,0.72,0.3,2000,0,725.33,853.33,0,0,0,475,1800,800,0,46,33.12
Riki,AGI,30,2.2,14,1.3,18,1.9,560,3.39,243,1.15,6,23.08,279.95,0.6,43,41,45,0,0,43,41,45,0,25,1.7,30,MELEE,1.31,0.76,0.3,900,0,728,746.67,0,0,0,150,1800,800,0,43,32.68
Rubick,INT,14,1.6,25,2.4,21,1.8,620,1.72,375,1.35,1.33,6.25,290,0.7,49,44,54,0,0,49,44,54,0,22.19,1.7,14,RANGED,1.49,0.67,0.4,1125,0,661.33,796.79,0,0,0,550,1800,800,0,49,32.83
Sand King,STR,19,2.1,16,1.8,22,2.9,640,1.74,267,1.19,2.17,9.77,285,0.5,52,47,57,0,0,52,47,57,3.3,25,1.7,19,MELEE,1.43,0.7,0.53,900,0,709.33,853.33,0,0,0,150,1800,800,0,52,36.4
Shadow Demon,INT,18,2.2,21,2.7,23,2.4,660,1.75,327,1.28,3,13.04,295,0.6,52,50,54,0,0,52,50,54,0,22.64,1.7,18,RANGED,1.44,0.69,0.35,900,0,759,853.13,0,0,0,500,1800,800,0,52,35.88
Shadow Fiend,AGI,20,2.9,18,2,16,2.3,520,1.95,291,1.22,1.33,6.25,313.72,1,38,35,41,0,0,38,35,41,0,25,1.7,20,RANGED,1.42,0.71,0.5,1200,0,554.67,693.33,0,0,0,500,1800,800,0,38,26.98
Shadow Shaman,INT,16,1.6,21,3,23,2.1,660,1.75,327,1.28,3.67,15.49,285,0.5,76.5,73,80,0,0,76.5,73,80,0,22.64,1.7,16,RANGED,1.47,0.68,0.3,900,0,781,853.13,0,0,0,400,1800,800,0,76.5,52.02
Silencer,INT,22,3,25,2.5,19,2.5,580,1.7,375,1.35,2.67,11.76,295,0.6,50,43,57,0,0,50,43,57,0,22.19,1.7,22,RANGED,1.39,0.72,0.5,1000,0,657.33,745.38,0,0,0,600,1800,800,0,50,36
Skywrath Mage,INT,13,0.8,25,3.6,21,1.8,620,1.72,375,1.35,0.17,0.83,330,0.5,44,39,49,0,0,44,39,49,0,22.19,1.7,13,RANGED,1.5,0.66,0.4,1000,0,625.17,796.79,0,0,0,600,1800,800,0,44,29.04
Slardar,STR,17,2.4,15,1.5,21,3.1,620,1.72,255,1.17,4.83,19.46,285,0.5,55,51,59,0,0,55,51,59,3.15,25,1.7,17,MELEE,1.45,0.69,0.36,0,0,769.83,826.67,0,0,0,150,1800,800,0,55,37.95
Slark,AGI,21,1.5,16,1.7,21,1.9,620,3.74,267,1.19,2.5,11.11,298.72,0.6,58,54,62,0,0,58,54,62,0,25,1.7,21,MELEE,1.4,0.71,0.5,0,0,697.5,826.67,0,0,0,150,1800,1800,0,58,41.18
Sniper,AGI,21,2.7,15,2.6,17,1.7,540,1.68,255,1.17,2.5,11.11,288.59,0.7,39,36,42,0,0,39,36,42,0,25,1.7,21,RANGED,1.4,0.71,0.17,3000,0,607.5,720,0,0,0,550,1800,1400,0,39,27.69
Spectre,AGI,23,1.8,16,1.9,21,2.3,620,1.72,267,1.19,3.83,16.08,288.93,0.5,48,46,50,0,0,48,46,50,0,25,1.7,23,MELEE,1.38,0.72,0.3,900,0,738.83,826.67,0,0,0,150,1800,800,0,48,34.56
Spirit Breaker,STR,17,1.7,14,1.8,29,2.7,780,1.81,243,1.15,4.83,19.46,280,0.5,65,60,70,0,0,65,60,70,4.35,25,1.9,17,MELEE,1.62,0.62,0.6,900,0,968.5,1040,0,0,0,150,1800,800,0,65,40.3
Storm Spirit,INT,22,1.5,22,3,21,1.8,620,1.72,339,1.3,5.67,22.08,285,0.8,51,46,56,0,0,51,46,56,0,22.53,1.7,22,RANGED,1.39,0.72,0.5,1100,0,795.67,800.26,0,0,0,480,1800,800,0,51,36.72
Sven,STR,21,2,16,1.3,23,3,660,1.75,267,1.19,4.5,18.37,285,0.6,67,66,68,0,0,67,66,68,3.45,25,1.8,21,MELEE,1.49,0.67,0.4,0,0,808.5,880,0,0,0,150,1800,800,0,67,44.89
Techies,INT,14,1.3,20,2.9,19,2.3,580,1.7,315,1.26,7.33,26.83,270,0.5,30,29,31,0,0,30,29,31,0,22.75,1.7,14,RANGED,1.49,0.67,0.5,900,0,792.67,750.81,0,0,0,700,1800,800,0,30,20.1
Templar Assassin,AGI,23,2.3,20,2,19,2.4,580,1.99,315,1.26,4.83,19.46,314.28,0.7,56,53,59,0,0,56,53,59,0,25,1.7,23,RANGED,1.38,0.72,0.3,900,0,720.17,773.33,0,0,0,140,1800,800,0,56,40.32
Terrorblade,AGI,22,4.2,19,1.6,16,1.7,520,1.67,303,1.24,10.67,34.78,314.09,0.5,51,48,54,0,0,51,48,54,0,25,1.5,22,MELEE,1.23,0.81,0.3,900,0,797.33,693.33,0,0,0,150,1800,800,0,51,41.31
Tidehunter,STR,15,1.5,16,1.7,22,3.3,640,1.74,267,1.19,2.5,11.11,300,0.5,50,47,53,0,0,50,47,53,3.3,25,1.7,15,MELEE,1.48,0.68,0.6,900,0,720,853.33,0,0,0,150,1800,800,0,50,34
Timbersaw,STR,16,1.3,21,2.4,21,2.1,620,1.72,327,1.28,0.67,3.23,285,0.6,49,47,51,0,0,49,47,51,3.15,25,1.7,16,MELEE,1.47,0.68,0.36,900,0,640.67,826.67,0,0,0,150,1800,800,0,49,33.32
Tinker,INT,13,1.2,28,2.2,17,2.3,540,1.68,411,1.4,4.17,17.24,290,0.6,55,52,58,0,0,55,52,58,0,21.85,1.7,13,RANGED,1.5,0.66,0.35,900,0,652.5,690.98,0,0,0,500,1800,800,0,55,36.3
Tiny,STR,0,0,17,1.6,30,3.6,800,1.82,279,1.21,0,0,285,0.5,77,74,80,0,0,77,74,80,4.5,25,1.7,0,MELEE,1.7,0.59,0.4,900,0,800,1066.67,0,0,0,150,1800,800,0,77,45.43
Treant Protector,STR,15,2,20,1.8,25,3.6,700,1.77,315,1.26,0.5,2.44,265,0.5,91,87,95,0,0,91,87,95,3.75,25,1.9,15,MELEE,1.65,0.61,0.6,900,0,717.5,933.33,0,0,0,150,1800,800,0,91,55.51
Troll Warlord,AGI,21,2.5,13,1,21,2.5,620,2.01,231,1.13,2.5,11.11,298.72,0.5,47,38,56,0,0,47,38,56,0,25,1.7,21,RANGED,1.4,0.71,0.3,1200,0,697.5,826.67,0,0,0,500,1800,800,0,47,33.37
Tusk,STR,23,2.1,18,1.7,23,3,660,1.75,291,1.22,2.83,12.41,295,0.7,52,50,54,0,0,52,50,54,3.45,25,1.7,23,MELEE,1.38,0.72,0.36,900,0,753.5,880,0,0,0,150,1800,800,0,52,37.44
